Powder,,Sample 1,,Sample 4,,Sample 5,,Sample 6,,Sample 7,,Sample 8,,Sample 9,,Sample 10,,Sample 12,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.948249619482496,38.334219576478176,4.018264840182653,11.829008075163937,5.966514459665149,7.349560989174841,4.018264840182653,11.502447866603148,5.966514459665149,10,4.018264840182653,9.7239327198986,3.9573820395738224,41.11324562897775,5.966514459665149,36.757802847676636,6.027397260273979,21.89906294605913,2.0091324200913263,1.6902989661486618
4.018264840182653,233.22825075076506,5.966514459665149,15.006927807200135,8.036529680365305,5.252484042324319,6.027397260273979,4.378621306469457,4.018264840182653,4.630773031928292,5.966514459665149,6.2131676151324156,5.966514459665149,29.796423185431404,3.9573820395738224,22.838239025660634,3.9573820395738224,17.751707021477262,4.018264840182653,18.773974818121765
5.966514459665149,135.11360701886633,8.036529680365305,12.686547943701658,3.9573820395738224,2.114598712892242,8.036529680365305,2.5723753928641373,8.036529680365305,2.758858861487165,8.036529680365305,4.502932540359156,7.975646879756468,12.86537626946486,8.036529680365305,14.59263563295897,8.097412480974128,8.940622975717744,5.966514459665149,17.021704213995775
8.036529680365305,100.70232872933516,9.984779299847794,5.252484042324319,2.0091324200913263,1.0356131786397755,,,10.045662100456624,1.8128366078520182,12.05479452054795,2.6454064080473825,9.984779299847794,6.041642386700046,9.984779299847794,6.852771666150542,9.984779299847794,3.753773681925604,7.975646879756468,7.664758579757024
9.984779299847794,50.71859020974592,11.99391171993912,3.2180944340397692,12.05479452054795,1.050211079636666,,,,,,,12.05479452054795,4.082650932480499,12.05479452054795,5.179474679231207,12.05479452054795,2.2363721380845516,10.045662100456624,5.107480143990276
12.05479452054795,42.28047109462771,2.0091324200913263,1.0356131786397755,14.003044140030447,3.1733630225572234,,,,,,,14.003044140030447,2.056221561374838,2.0700152207001565,0.8633168407011583,14.003044140030447,0.7401179067481827,12.05479452054795,3.3561075226268677
14.003044140030447,27.396177390319796,,,9.984779299847794,2.1444058873234346,,,,,,,16.012176560121773,1.0356131786397755,14.003044140030447,0.8633168407011583,18.0213089802131,0.7401179067481827,16.012176560121773,0.839483487493349
16.012176560121773,16.321721285632737,,,,,,,,,,,,,,,,,18.0213089802131,0.851316763751043
18.0213089802131,14.798331982375286,,,,,,,,,,,,,,,,,19.969558599695596,0.851316763751043
20.03044140030442,9.86100031431832,,,,,,,,,,,,,,,,,,
21.9786910197869,7.453159674382292,,,,,,,,,,,,,,,,,,
24.04870624048707,2.3984971664139314,,,,,,,,,,,,,,,,,,
27.945205479452063,1.6207888627383986,,,,,,,,,,,,,,,,,,
25.996955859969553,0.8049614383201029,,,,,,,,,,,,,,,,,,
30.015220700152206,0.8049614383201029,,,,,,,,,,,,,,,,,,
