 ,Area,Mean,Min,Max,Angle,Length
1,0.205,254.907,248,255,0,4.146
2,0.119,251.000,118,255,180,2.390
3,0.040,227.412,85,255,180,0.780
4,0.198,254.518,221,255,0,4.000
5,0.385,254.728,226,255,180,7.854
6,0.186,252.731,127,255,180,3.756
7,0.081,249.971,168,255,180,1.610
8,0.074,239.581,144,255,180,1.463
9,0.088,243.703,166,255,180,1.756
10,0.157,253.803,199,255,180,3.171
11,0.057,208.542,43,255,180,1.122
12,0.033,248.214,210,255,180,0.634
13,0.043,236.444,86,255,180,0.829
14,0.021,221.556,156,255,180,0.390
15,0.043,204.556,9,255,180,0.829
16,0.083,232.943,66,255,180,1.659
17,0.131,239.782,1,255,180,2.634
18,0.128,250.056,162,255,0,2.585
19,0.112,246.511,44,255,180,2.244
20,0.088,254.216,232,255,180,1.756
21,0.119,252.680,191,255,0,2.390
22,0.081,253.147,215,255,180,1.610
23,0.086,245.139,162,255,180,1.707
24,0.062,236.500,117,255,180,1.220
25,0.057,236.750,63,255,180,1.122
26,0.019,119.000,17,208,180,0.341
27,0.029,248.333,230,255,180,0.537
28,0.040,237.235,175,255,0,0.780
29,0.267,253.902,193,255,180,5.415
30,0.286,254.033,207,255,180,5.805
31,0.043,239.889,133,255,180,0.829
32,0.278,252.983,145,255,180,5.659
33,0.102,253.512,210,255,180,2.049
34,0.121,251.980,171,255,180,2.439
35,0.252,247.585,90,255,180,5.122
36,0.150,254.492,241,255,180,3.024
37,0.183,254.987,254,255,180,3.707
38,0.086,250.250,138,255,180,1.707
39,0.021,185.333,81,254,0,0.390
40,0.143,254.383,231,255,180,2.878
41,0.057,241.000,92,255,180,1.122
42,0.114,227.250,15,255,180,2.293
43,0.079,219.485,33,255,180,1.561
44,0.100,254.333,237,255,180,2.000
45,0.183,250.416,66,255,180,3.707
46,0.079,220.121,35,255,180,1.561
47,0.105,238.273,27,255,180,2.098
48,0.059,233.840,32,255,180,1.171
49,0.062,226.192,74,255,180,1.220
50,0.200,246.833,2,255,180,4.049
51,0.159,253.075,198,255,180,3.220
52,0.064,243.741,89,255,180,1.268
53,0.131,244.382,7,255,180,2.634
54,0.052,220.091,15,255,180,1.024
55,0.036,195.733,15,255,180,0.683
56,0.228,251.104,75,255,180,4.634
57,0.178,253.027,154,255,180,3.610
58,0.245,245.398,41,255,180,4.976
59,0.105,246.159,88,255,180,2.098
60,0.069,220.379,3,255,180,1.366
61,0.136,249.842,111,255,180,2.732
62,0.036,254.400,247,255,180,0.683
63,0.021,195.222,14,255,180,0.390
64,0.112,254.532,242,255,180,2.244
65,0.019,219.625,148,255,180,0.341
66,0.021,239.000,210,255,180,0.390
67,0.019,239.250,197,255,180,0.341
68,0.055,223.739,53,255,180,1.073
69,0.098,237.341,44,255,180,1.951
70,0.112,243.128,85,255,180,2.244
71,0.043,235.222,70,255,180,0.829
72,0.074,209.258,38,255,180,1.463
73,0.021,254.889,254,255,180,0.390
74,0.045,253.053,220,255,180,0.878
75,0.112,236.809,59,255,180,2.244
76,0.079,234.121,57,255,180,1.561
77,0.138,233.724,34,255,180,2.780
78,0.050,239.571,171,255,180,0.976
79,0.076,236.031,26,255,180,1.512
80,0.093,223.436,17,255,180,1.854
81,0.190,249.688,44,255,180,3.854
82,0.079,249.939,182,255,180,1.561
83,0.102,249.093,131,255,180,2.049
84,0.031,199.923,62,255,180,0.585
85,0.083,236.600,44,255,0,1.659
86,0.114,243.271,110,255,180,2.293
87,0.026,187.636,45,255,180,0.488
88,0.026,202.818,19,255,180,0.488
89,0.140,240.271,4,255,180,2.829
90,0.036,213.000,62,255,180,0.683
91,0.038,232.812,108,255,180,0.732
92,0.090,243.184,66,255,180,1.805
93,0.071,248.867,202,255,180,1.415
94,0.026,167.273,10,255,180,0.488
95,0.062,248.962,156,255,180,1.220
96,0.138,234.672,14,255,180,2.780
97,0.031,230.923,125,255,180,0.585
98,0.029,245.750,164,255,180,0.537
99,0.036,237.533,107,255,180,0.683
100,0.055,207.174,2,255,180,1.073
101,0.036,170.000,17,230,180,0.683
102,0.071,235.467,94,255,180,1.415
103,0.024,191.400,34,255,180,0.439
