 ,Area,Mean,Min,Max,Angle,Length
1,0.112,254.936,252,255,0,2.244
2,0.126,243.321,43,255,180,2.537
3,0.038,222.312,15,255,180,0.732
4,0.031,252.846,236,255,180,0.585
5,0.150,253.794,223,255,0,3.024
6,0.038,232.312,72,255,180,0.732
7,0.029,195.250,21,255,180,0.537
8,0.152,241.984,3,255,180,3.073
9,0.076,249.281,193,255,180,1.512
10,0.064,249.222,159,255,180,1.268
11,0.126,246.057,55,255,180,2.537
12,0.064,251.000,205,255,180,1.268
13,0.024,201.700,78,255,180,0.439
14,0.062,244.615,108,255,180,1.220
15,0.119,251.460,176,255,180,2.390
16,0.088,241.838,48,255,180,1.756
17,0.081,249.735,123,255,180,1.610
18,0.026,235.364,120,255,180,0.488
19,0.014,224.333,184,248,180,0.244
20,0.152,253.500,199,255,180,3.073
21,0.064,240.444,101,255,180,1.268
22,0.069,242.241,152,255,180,1.366
23,0.059,254.640,248,255,180,1.171
24,0.059,250.520,192,255,0,1.171
25,0.171,245.806,126,255,180,3.463
26,0.178,242.160,105,255,180,3.610
27,0.036,246.200,214,255,180,0.683
28,0.109,247.826,163,255,180,2.195
29,0.100,244.286,38,255,180,2.000
30,0.081,242.500,78,255,180,1.610
31,0.140,253.288,170,255,180,2.829
32,0.067,254.393,238,255,180,1.317
33,0.338,252.986,118,255,180,6.878
34,0.052,245.273,161,255,180,1.024
35,0.050,244.190,108,255,0,0.976
36,0.124,249.173,101,255,180,2.488
37,0.050,250.571,170,255,180,0.976
38,0.043,229.889,57,255,180,0.829
39,0.052,232.000,14,255,180,1.024
40,0.079,245.091,83,255,180,1.561
41,0.043,214.500,89,255,180,0.829
42,0.026,225.909,119,255,180,0.488
43,0.081,241.559,66,255,180,1.610
44,0.043,222.500,51,255,180,0.829
45,0.069,248.966,152,255,180,1.366
46,0.202,249.200,54,255,180,4.098
47,0.059,228.320,32,255,180,1.171
48,0.079,246.303,56,255,180,1.561
49,0.117,248.878,129,255,180,2.341
50,0.033,203.214,11,255,180,0.634
51,0.033,203.500,5,255,180,0.634
52,0.071,242.233,96,255,180,1.415
53,0.045,248.474,164,255,180,0.878
54,0.295,253.363,216,255,0,6.000
55,0.076,249.469,135,255,0,1.512
56,0.059,252.880,225,255,180,1.171
57,0.152,238.812,33,255,180,3.073
58,0.021,142.889,66,176,180,0.390
59,0.416,254.509,196,255,0,8.488
60,0.086,252.778,226,255,180,1.707
61,0.033,249.714,226,255,180,0.634
62,0.288,247.421,18,255,180,5.854
63,0.081,251.235,198,255,180,1.610
64,0.098,245.878,40,255,180,1.951
65,0.095,250.025,172,255,180,1.902
66,0.055,243.000,104,255,180,1.073
67,0.029,231.667,105,255,180,0.537
68,0.048,254.050,237,255,0,0.927
69,0.017,234.857,140,255,180,0.293
70,0.031,235.231,88,255,180,0.585
71,0.067,237.536,87,255,180,1.317
72,0.128,243.963,86,255,180,2.585
73,0.052,223.364,6,255,180,1.024
74,0.121,249.157,72,255,180,2.439
75,0.017,197.429,75,254,180,0.293
76,0.033,223.214,64,255,180,0.634
77,0.038,229.188,68,255,180,0.732
78,0.050,217.286,59,255,180,0.976
79,0.059,239.520,173,255,0,1.171
80,0.400,253.310,152,255,180,8.146
81,0.469,254.523,202,255,0,9.561
82,0.124,242.596,19,255,180,2.488
83,0.050,232.190,19,255,180,0.976
84,0.067,242.929,54,255,180,1.317
85,0.159,244.552,26,255,180,3.220
86,0.052,231.909,26,255,180,1.024
87,0.040,234.941,99,255,180,0.780
88,0.081,239.559,63,255,180,1.610
89,0.062,252.538,214,255,180,1.220
90,0.059,205.120,1,255,180,1.171
91,0.086,252.667,213,255,180,1.707
92,0.062,193.038,0,255,180,1.220
93,0.040,193.588,0,255,180,0.780
94,0.081,240.588,43,255,180,1.610
95,0.074,251.000,185,255,0,1.463
96,0.274,246.261,82,255,180,5.561
97,0.131,244.673,52,255,180,2.634
98,0.045,226.368,58,255,180,0.878
99,0.043,243.000,115,255,180,0.829
100,0.024,253.300,240,255,180,0.439
101,0.033,158.643,0,255,180,0.634
