Area,Mean,Min,Max,Angle,Length,Inverse,Average Inverse,Alpha Thickness
0.138,238.793,4,255,180,2.78,0.35971223,,
0.081,210.118,2,255,180,1.61,0.621118012,,
0.017,178,46,250,0,0.293,3.412969283,,
0.043,211.944,0,255,180,0.829,1.206272618,,
0.088,248.811,157,255,180,1.756,0.569476082,,
0.069,210,3,255,180,1.366,0.732064422,,
0.05,180,0,255,180,0.976,1.024590164,,
0.243,239.069,4,255,180,4.927,0.202963264,,
0.079,238.273,72,255,180,1.561,0.64061499,,
0.069,227.172,28,255,0,1.366,0.732064422,,
0.133,251.696,129,255,0,2.683,0.372717108,,
0.119,237.92,0,255,180,2.39,0.418410042,,
0.086,232.278,7,255,180,1.707,0.585823081,,
0.071,237.8,96,255,180,1.415,0.706713781,,
0.093,252.385,209,255,180,1.854,0.539374326,,
0.1,241.881,25,255,180,2,0.5,,
0.05,163.048,13,255,180,0.976,1.024590164,,
0.05,240,96,255,180,0.976,1.024590164,,
0.171,249.903,115,255,180,3.463,0.288766965,,
0.19,247.162,64,255,180,3.854,0.25947068,,
0.04,252.824,223,255,180,0.78,1.282051282,,
0.095,242.15,64,255,180,1.902,0.525762355,,
0.214,250.478,112,255,180,4.341,0.230361668,,
0.128,244.241,30,255,180,2.585,0.386847195,,
0.083,216.571,11,255,180,1.659,0.602772755,,
0.105,210.159,1,255,180,2.098,0.476644423,,
0.083,220.514,21,255,180,1.659,0.602772755,,
0.024,168.9,60,249,180,0.439,2.277904328,,
0.083,217,92,255,0,1.659,0.602772755,,
0.069,195.517,85,255,180,1.366,0.732064422,,
0.038,229.375,137,255,180,0.732,1.366120219,,
0.145,241.311,10,255,180,2.927,0.341646737,,
0.171,246.181,67,255,180,3.463,0.288766965,,
0.128,217.963,11,255,180,2.585,0.386847195,,
