Area,Mean,Min,Max,Angle,Length,Inverse,Average Inverse,Alpha Thickness
0.259,244.55,0,255,0,5.268,0.189825361,,
0.043,237.444,71,255,180,0.829,1.206272618,,
0.098,254.927,252,255,180,1.951,0.512557663,,
0.021,180.556,0,255,180,0.39,2.564102564,,
0.136,253.561,209,255,0,2.732,0.366032211,,
0.119,224.8,0,255,180,2.39,0.418410042,,
0.038,220.562,0,255,180,0.732,1.366120219,,
0.081,254.794,248,255,180,1.61,0.621118012,,
0.1,241.762,0,255,180,2,0.5,,
0.138,251.828,75,255,0,2.78,0.35971223,,
0.231,245.412,0,255,180,4.683,0.21353833,,
0.324,251.588,50,255,0,6.585,0.151860289,,
0.088,231.054,0,255,180,1.756,0.569476082,,
0.117,252.02,143,255,180,2.341,0.427167877,,
0.083,235.857,0,255,180,1.659,0.602772755,,
0.081,219,0,255,180,1.61,0.621118012,,
0.045,175,0,255,180,0.878,1.138952164,,
0.093,220.744,0,255,180,1.854,0.539374326,,
0.086,252.083,193,255,180,1.707,0.585823081,,
0.045,219.632,0,255,180,0.878,1.138952164,,
0.045,241.632,47,255,180,0.878,1.138952164,,
0.181,250.697,20,255,180,3.659,0.273298715,,
0.09,233.421,0,255,180,1.805,0.55401662,,
0.064,232.963,0,255,180,1.268,0.788643533,,
0.076,247.094,109,255,0,1.512,0.661375661,,
0.079,230.667,0,255,0,1.561,0.64061499,,
0.143,243.783,0,255,0,2.878,0.347463516,,
0.076,229.906,0,255,180,1.512,0.661375661,,
0.057,228.875,0,255,180,1.122,0.891265597,,
0.117,251.551,86,255,180,2.341,0.427167877,,
0.126,251.321,60,255,180,2.537,0.394166338,,
0.086,238.472,0,255,180,1.707,0.585823081,,
0.055,219.174,36,255,180,1.073,0.931966449,,
0.121,244.255,0,255,180,2.439,0.4100041,,
0.107,220.289,0,255,180,2.146,0.465983225,,
0.283,247.454,0,255,180,5.756,0.173731758,,
0.443,252.957,82,255,0,9.024,0.110815603,,
0.414,250.943,0,255,0,8.439,0.118497452,,
0.067,241.643,161,255,180,1.317,0.759301443,,
0.114,243.188,0,255,180,2.293,0.4361099,,
0.057,244.625,51,255,0,1.122,0.891265597,,
0.052,249.136,126,255,0,1.024,0.9765625,,
0.305,247.648,10,255,0,6.195,0.1614205,,
0.055,253.217,214,255,0,1.073,0.931966449,,
0.333,252.479,98,255,0,6.78,0.147492625,,
0.086,232.806,0,255,180,1.707,0.585823081,,
0.159,239.134,0,255,180,3.22,0.310559006,,
0.171,249.736,43,255,0,3.463,0.288766965,,
0.121,245.627,10,255,180,2.439,0.4100041,,
0.119,244.04,0,255,180,2.39,0.418410042,,
0.057,229,0,255,180,1.122,0.891265597,,
0.098,217,0,255,180,1.951,0.512557663,,
0.143,249.9,116,255,180,2.878,0.347463516,,
0.133,246.464,0,255,180,2.683,0.372717108,,
0.017,154.286,0,255,0,0.293,3.412969283,,
0.188,253.152,109,255,0,3.805,0.262812089,,
0.195,247.329,0,255,0,3.951,0.253100481,,
0.036,247.8,147,255,0,0.683,1.464128843,,
0.121,251.255,71,255,180,2.439,0.4100041,,
0.04,235.706,0,255,180,0.78,1.282051282,,
0.045,240.316,90,255,0,0.878,1.138952164,,
0.09,244.132,6,255,180,1.805,0.55401662,,
0.069,245.034,96,255,180,1.366,0.732064422,,
0.09,254.553,244,255,180,1.805,0.55401662,,
0.038,242,111,255,180,0.732,1.366120219,,
0.052,233.091,55,255,0,1.024,0.9765625,,
0.219,250.739,38,255,180,4.439,0.225275963,,
0.321,252.015,46,255,180,6.537,0.152975371,,
0.017,134.429,3,255,180,0.293,3.412969283,,
0.155,246.585,0,255,180,3.122,0.320307495,,
0.195,252.061,66,255,0,3.951,0.253100481,,
0.19,241.7,38,255,180,3.854,0.25947068,,
0.067,236.429,75,255,180,1.317,0.759301443,,
0.271,250.096,29,255,0,5.512,0.181422351,,
0.057,170.833,0,255,0,1.122,0.891265597,,
0.036,247.8,147,255,0,0.683,1.464128843,,
0.171,244.875,24,255,0,3.463,0.288766965,,
0.176,249.784,55,255,0,3.561,0.280819994,,
0.05,235.667,68,255,180,0.976,1.024590164,,
0.079,250.939,165,255,0,1.561,0.64061499,,
0.133,240.732,0,255,180,2.683,0.372717108,,
0.15,243.048,0,255,180,3.024,0.330687831,,
0.252,249.538,144,255,180,5.122,0.195236236,,
0.026,232.273,166,255,0,0.488,2.049180328,,
0.112,250.532,165,255,180,2.244,0.445632799,,
0.069,208.103,1,255,180,1.366,0.732064422,,
0.093,237.41,1,255,180,1.854,0.539374326,,
0.076,228.375,0,255,180,1.512,0.661375661,,
0.171,242.639,2,255,0,3.463,0.288766965,,
0.086,237.722,22,255,0,1.707,0.585823081,,
0.233,249.224,0,255,0,4.732,0.211327134,,
0.14,244.729,3,255,180,2.829,0.353481796,,
0.128,238.315,0,255,180,2.585,0.386847195,,
0.081,254.059,223,255,180,1.61,0.621118012,,
0.04,228.882,94,255,180,0.78,1.282051282,,
0.026,233,73,255,180,0.488,2.049180328,,
0.102,254.744,249,255,0,2.049,0.488042948,,
0.05,218.81,1,255,180,0.976,1.024590164,,
0.029,216.917,5,255,180,0.537,1.862197393,,
0.312,251.687,98,255,0,6.341,0.157703832,,
0.086,239.111,83,255,0,1.707,0.585823081,,
0.119,232.56,47,255,180,2.39,0.418410042,,
0.297,247.048,54,255,180,6.049,0.165316581,,
0.098,223.634,0,255,0,1.951,0.512557663,,
0.088,246.541,63,255,180,1.756,0.569476082,,
0.102,243.953,43,255,180,2.049,0.488042948,,
0.176,247.351,44,255,180,3.561,0.280819994,,
0.212,246.101,35,255,0,4.293,0.23293734,,
0.14,242.22,19,255,0,2.829,0.353481796,,
0.267,247.42,6,255,180,5.415,0.184672207,,
0.069,207.138,2,255,0,1.366,0.732064422,,
0.152,254.25,217,255,0,3.073,0.325414904,,
0.107,236.067,0,255,180,2.146,0.465983225,,
0.124,237.096,0,255,180,2.488,0.40192926,,
0.126,249.717,101,255,180,2.537,0.394166338,,
0.038,193.375,0,255,180,0.732,1.366120219,,
