 ,Area,Mean,Min,Max,Angle,Length
1,0.036,221.000,0,255,0,0.683
2,0.202,252.000,0,255,180,4.098
3,0.131,241.091,0,255,0,2.634
4,0.074,246.774,0,255,180,1.463
5,0.100,248.929,0,255,0,2.000
6,0.048,204.000,0,255,180,0.927
7,0.117,239.388,0,255,180,2.341
8,0.090,248.289,0,255,180,1.805
9,0.076,223.125,0,255,180,1.512
10,0.150,255.000,255,255,180,3.024
11,0.098,248.780,0,255,180,1.951
12,0.074,255.000,255,255,180,1.463
13,0.074,246.774,0,255,180,1.463
14,0.086,247.917,0,255,180,1.707
15,0.069,246.207,0,255,180,1.366
16,0.081,240.000,0,255,180,1.610
17,0.081,240.000,0,255,180,1.610
18,0.228,252.344,0,255,180,4.634
19,0.040,225.000,0,255,180,0.780
20,0.088,248.108,0,255,180,1.756
21,0.138,250.603,0,255,180,2.780
22,0.100,255.000,255,255,180,2.000
23,0.031,235.385,0,255,180,0.585
24,0.067,255.000,255,255,180,1.317
25,0.067,245.893,0,255,0,1.317
26,0.109,249.457,0,255,180,2.195
27,0.138,250.603,0,255,180,2.780
28,0.079,247.273,0,255,180,1.561
29,0.064,255.000,255,255,180,1.268
30,0.031,215.769,0,255,180,0.585
31,0.126,245.377,0,255,180,2.537
32,0.098,242.561,0,255,180,1.951
33,0.140,250.678,0,255,180,2.829
34,0.190,255.000,255,255,180,3.854
35,0.119,255.000,255,255,180,2.390
36,0.169,251.408,0,255,180,3.415
37,0.069,255.000,255,255,180,1.366
38,0.140,250.678,0,255,180,2.829
39,0.033,218.571,0,255,180,0.634
40,0.209,255.000,255,255,180,4.244
41,0.031,235.385,0,255,180,0.585
42,0.062,255.000,255,255,180,1.220
43,0.019,223.125,0,255,180,0.341
44,0.074,246.774,0,255,180,1.463
45,0.074,246.774,0,255,180,1.463
46,0.043,212.500,0,255,180,0.829
47,0.145,250.820,0,255,180,2.927
48,0.024,229.500,0,255,180,0.439
49,0.069,246.207,0,255,180,1.366
50,0.145,255.000,255,255,180,2.927
51,0.238,252.450,0,255,180,4.829
52,0.190,239.062,0,255,180,3.854
53,0.102,237.209,0,255,180,2.049
54,0.050,218.571,0,255,180,0.976
55,0.326,253.139,0,255,180,6.634
56,0.121,235.000,0,255,180,2.439
57,0.112,249.574,0,255,180,2.244
58,0.048,255.000,255,255,180,0.927
59,0.105,243.409,0,255,180,2.098
60,0.083,233.143,0,255,180,1.659
61,0.048,255.000,255,255,180,0.927
62,0.121,255.000,255,255,180,2.439
63,0.040,150.000,0,255,180,0.780
64,0.093,248.462,0,255,180,1.854
65,0.083,233.143,0,255,180,1.659
66,0.055,232.826,0,255,180,1.073
67,0.059,224.400,0,255,180,1.171
68,0.069,237.414,0,255,180,1.366
69,0.140,233.390,0,255,180,2.829
70,0.012,0.000,0,0,180,0.195
71,0.040,225.000,0,255,180,0.780
72,0.040,255.000,255,255,0,0.780
73,0.152,243.047,0,255,180,3.073
74,0.164,243.913,0,255,180,3.317
75,0.074,230.323,0,255,180,1.463
76,0.107,255.000,255,255,180,2.146
77,0.107,226.667,0,255,180,2.146
78,0.274,252.783,0,255,180,5.561
79,0.019,255.000,255,255,180,0.341
80,0.038,255.000,255,255,180,0.732
81,0.126,250.189,0,255,180,2.537
82,0.098,242.561,0,255,180,1.951
83,0.152,255.000,255,255,180,3.073
84,0.186,245.192,0,255,180,3.756
85,0.098,248.780,0,255,180,1.951
86,0.019,255.000,255,255,180,0.341
87,0.171,255.000,255,255,180,3.463
88,0.045,255.000,255,255,180,0.878
89,0.074,238.548,0,255,180,1.463
90,0.098,255.000,255,255,180,1.951
91,0.033,236.786,0,255,180,0.634
92,0.010,255.000,255,255,180,0.146
93,0.200,251.964,0,255,180,4.049
1,0.278,251.248,53,255,0,5.659
2,0.043,240.167,84,255,180,0.829
3,0.412,234.445,0,255,0,8.390
4,0.062,249.231,105,255,0,1.220
5,0.143,243.450,0,255,180,2.878
6,0.198,249.193,39,255,0,4.000
7,0.800,249.708,0,255,0,16.341
8,0.086,245.333,21,255,0,1.707
9,0.021,150.778,0,255,180,0.390
10,0.167,247.914,0,255,180,3.366
11,0.186,246.846,0,255,180,3.756
12,0.171,248.625,0,255,180,3.463
13,0.071,225.567,0,255,180,1.415
14,0.578,251.473,0,255,180,11.805
15,0.209,241.318,0,255,180,4.244
16,0.131,250.036,8,255,180,2.634
17,0.157,249.500,0,255,180,3.171
18,0.036,126.733,0,255,180,0.683
19,0.050,236.667,0,255,180,0.976
20,0.128,224.500,0,255,180,2.585
21,0.043,220.556,61,255,0,0.829
22,0.112,248.851,74,255,180,2.244
23,0.202,248.412,37,255,180,4.098
24,0.297,251.256,73,255,180,6.049
25,0.062,228.885,32,255,180,1.220
26,0.045,211.368,0,255,180,0.878
27,0.038,221.125,0,255,0,0.732
28,0.340,250.741,46,255,180,6.927
29,0.186,251.821,134,255,180,3.756
30,0.086,255.000,255,255,180,1.707
31,0.036,190.200,0,255,180,0.683
32,0.271,243.114,0,255,180,5.512
33,0.100,241.524,0,255,180,2.000
34,0.057,230.583,0,255,180,1.122
35,0.086,234.333,46,255,180,1.707
36,0.067,13.107,0,77,180,1.317
37,0.043,14.556,0,79,180,0.829
38,0.024,2.600,0,26,180,0.439
39,0.102,9.233,0,150,0,2.049
40,0.259,244.881,0,255,180,5.268
41,0.071,221.200,0,255,180,1.415
42,0.081,225.971,0,255,180,1.610
43,0.171,245.292,0,255,180,3.463
44,0.088,242.486,37,255,180,1.756
45,0.164,250.420,84,255,180,3.317
46,0.081,247.353,36,255,180,1.610
47,0.031,227.769,59,255,180,0.585
48,0.062,247.192,81,255,180,1.220
49,0.040,220.588,2,255,180,0.780
50,0.136,248.000,0,255,180,2.732
51,0.062,213.846,0,255,180,1.220
52,0.029,211.250,0,255,180,0.537
53,0.014,129.500,0,255,180,0.244
54,0.121,254.314,220,255,180,2.439
55,0.079,241.758,0,255,180,1.561
56,0.117,222.735,0,255,180,2.341
57,0.114,235.229,0,255,180,2.293
58,0.150,255.000,255,255,180,3.024
59,0.178,245.253,0,255,180,3.610
60,0.128,243.796,0,255,180,2.585
61,0.126,248.755,0,255,180,2.537
62,0.059,247.720,141,255,180,1.171
63,0.076,233.000,0,255,180,1.512
64,0.057,234.667,0,255,180,1.122
65,0.040,221.412,41,255,180,0.780
66,0.036,224.000,64,255,180,0.683
67,0.207,245.241,0,255,180,4.195
68,0.150,247.778,0,255,180,3.024
69,0.043,208.444,0,255,180,0.829
70,0.143,237.767,0,255,180,2.878
71,0.026,186.909,0,255,180,0.488
72,0.026,237.273,60,255,180,0.488
73,0.138,254.448,236,255,0,2.780
74,0.059,249.480,124,255,180,1.171
75,0.045,247.158,168,255,180,0.878
76,0.057,233.458,0,255,180,1.122
77,0.205,253.988,168,255,180,4.146
78,0.029,223.583,0,255,180,0.537
79,0.086,241.500,0,255,180,1.707
1,0.076,254.219,244,255,0,1.512
2,0.233,249.347,103,255,180,4.732
3,0.029,154.167,0,255,180,0.537
4,0.076,251.469,165,255,0,1.512
5,0.102,245.140,106,255,180,2.049
6,0.109,254.935,252,255,180,2.195
7,0.112,250.000,139,255,180,2.244
8,0.090,221.947,26,255,180,1.805
9,0.162,246.868,116,255,180,3.268
10,0.074,238.935,95,255,180,1.463
11,0.109,247.478,129,255,180,2.195
12,0.105,251.545,138,255,180,2.098
13,0.209,235.489,2,255,180,4.244
14,0.212,242.011,9,255,180,4.293
15,0.102,217.163,5,255,180,2.049
16,0.098,221.073,6,255,180,1.951
17,0.024,211.300,10,255,180,0.439
18,0.126,247.264,0,255,180,2.537
19,0.090,246.658,102,255,180,1.805
20,0.133,248.464,63,255,180,2.683
21,0.029,155.417,0,255,180,0.537
22,0.071,243.333,24,255,180,1.415
23,0.321,254.785,243,255,180,6.537
24,0.098,233.220,62,255,180,1.951
25,0.247,241.962,19,255,180,5.024
26,0.105,241.750,20,255,0,2.098
27,0.316,246.504,3,255,180,6.439
28,0.326,239.131,0,255,180,6.634
29,0.190,252.262,101,255,180,3.854
30,0.195,247.390,18,255,180,3.951
31,0.186,236.808,1,255,180,3.756
32,0.119,254.440,236,255,180,2.390
33,0.081,250.235,113,255,180,1.610
34,0.105,254.977,254,255,0,2.098
35,0.109,243.043,11,255,180,2.195
36,0.067,231.893,24,255,180,1.317
37,0.026,202.909,19,255,180,0.488
38,0.095,240.575,0,255,180,1.902
39,0.083,240.914,12,255,180,1.659
40,0.186,248.808,22,255,180,3.756
41,0.043,233.500,85,255,180,0.829
42,0.148,249.274,101,255,180,2.976
43,0.040,250.059,178,255,180,0.780
44,0.124,254.654,237,255,180,2.488
45,0.133,253.089,154,255,180,2.683
46,0.062,234.462,61,255,180,1.220
47,0.119,253.200,186,255,180,2.390
48,0.336,254.830,235,255,180,6.829
49,0.076,251.031,161,255,180,1.512
