 ,Area,Mean,Min,Max,Angle,Length
1,0.036,221.000,0,255,0,0.683
2,0.202,252.000,0,255,180,4.098
3,0.131,241.091,0,255,0,2.634
4,0.074,246.774,0,255,180,1.463
5,0.100,248.929,0,255,0,2.000
6,0.048,204.000,0,255,180,0.927
7,0.117,239.388,0,255,180,2.341
8,0.090,248.289,0,255,180,1.805
9,0.076,223.125,0,255,180,1.512
10,0.150,255.000,255,255,180,3.024
11,0.098,248.780,0,255,180,1.951
12,0.074,255.000,255,255,180,1.463
13,0.074,246.774,0,255,180,1.463
14,0.086,247.917,0,255,180,1.707
15,0.069,246.207,0,255,180,1.366
16,0.081,240.000,0,255,180,1.610
17,0.081,240.000,0,255,180,1.610
18,0.228,252.344,0,255,180,4.634
19,0.040,225.000,0,255,180,0.780
20,0.088,248.108,0,255,180,1.756
21,0.138,250.603,0,255,180,2.780
22,0.100,255.000,255,255,180,2.000
23,0.031,235.385,0,255,180,0.585
24,0.067,255.000,255,255,180,1.317
25,0.067,245.893,0,255,0,1.317
26,0.109,249.457,0,255,180,2.195
27,0.138,250.603,0,255,180,2.780
28,0.079,247.273,0,255,180,1.561
29,0.064,255.000,255,255,180,1.268
30,0.031,215.769,0,255,180,0.585
31,0.126,245.377,0,255,180,2.537
32,0.098,242.561,0,255,180,1.951
33,0.140,250.678,0,255,180,2.829
34,0.190,255.000,255,255,180,3.854
35,0.119,255.000,255,255,180,2.390
36,0.169,251.408,0,255,180,3.415
37,0.069,255.000,255,255,180,1.366
38,0.140,250.678,0,255,180,2.829
39,0.033,218.571,0,255,180,0.634
40,0.209,255.000,255,255,180,4.244
41,0.031,235.385,0,255,180,0.585
42,0.062,255.000,255,255,180,1.220
43,0.019,223.125,0,255,180,0.341
44,0.074,246.774,0,255,180,1.463
45,0.074,246.774,0,255,180,1.463
46,0.043,212.500,0,255,180,0.829
47,0.145,250.820,0,255,180,2.927
48,0.024,229.500,0,255,180,0.439
49,0.069,246.207,0,255,180,1.366
50,0.145,255.000,255,255,180,2.927
51,0.238,252.450,0,255,180,4.829
52,0.190,239.062,0,255,180,3.854
53,0.102,237.209,0,255,180,2.049
54,0.050,218.571,0,255,180,0.976
55,0.326,253.139,0,255,180,6.634
56,0.121,235.000,0,255,180,2.439
57,0.112,249.574,0,255,180,2.244
58,0.048,255.000,255,255,180,0.927
59,0.105,243.409,0,255,180,2.098
60,0.083,233.143,0,255,180,1.659
61,0.048,255.000,255,255,180,0.927
62,0.121,255.000,255,255,180,2.439
63,0.040,150.000,0,255,180,0.780
64,0.093,248.462,0,255,180,1.854
65,0.083,233.143,0,255,180,1.659
66,0.055,232.826,0,255,180,1.073
67,0.059,224.400,0,255,180,1.171
68,0.069,237.414,0,255,180,1.366
69,0.140,233.390,0,255,180,2.829
70,0.012,0.000,0,0,180,0.195
71,0.040,225.000,0,255,180,0.780
72,0.040,255.000,255,255,0,0.780
73,0.152,243.047,0,255,180,3.073
74,0.164,243.913,0,255,180,3.317
75,0.074,230.323,0,255,180,1.463
76,0.107,255.000,255,255,180,2.146
77,0.107,226.667,0,255,180,2.146
78,0.274,252.783,0,255,180,5.561
79,0.019,255.000,255,255,180,0.341
80,0.038,255.000,255,255,180,0.732
81,0.126,250.189,0,255,180,2.537
82,0.098,242.561,0,255,180,1.951
83,0.152,255.000,255,255,180,3.073
84,0.186,245.192,0,255,180,3.756
85,0.098,248.780,0,255,180,1.951
86,0.019,255.000,255,255,180,0.341
87,0.171,255.000,255,255,180,3.463
88,0.045,255.000,255,255,180,0.878
89,0.074,238.548,0,255,180,1.463
90,0.098,255.000,255,255,180,1.951
91,0.033,236.786,0,255,180,0.634
92,0.010,255.000,255,255,180,0.146
93,0.200,251.964,0,255,180,4.049
