 ,Area,Mean,Min,Max,Angle,Length
1,0.076,254.219,244,255,0,1.512
2,0.233,249.347,103,255,180,4.732
3,0.029,154.167,0,255,180,0.537
4,0.076,251.469,165,255,0,1.512
5,0.102,245.140,106,255,180,2.049
6,0.109,254.935,252,255,180,2.195
7,0.112,250.000,139,255,180,2.244
8,0.090,221.947,26,255,180,1.805
9,0.162,246.868,116,255,180,3.268
10,0.074,238.935,95,255,180,1.463
11,0.109,247.478,129,255,180,2.195
12,0.105,251.545,138,255,180,2.098
13,0.209,235.489,2,255,180,4.244
14,0.212,242.011,9,255,180,4.293
15,0.102,217.163,5,255,180,2.049
16,0.098,221.073,6,255,180,1.951
17,0.024,211.300,10,255,180,0.439
18,0.126,247.264,0,255,180,2.537
19,0.090,246.658,102,255,180,1.805
20,0.133,248.464,63,255,180,2.683
21,0.029,155.417,0,255,180,0.537
22,0.071,243.333,24,255,180,1.415
23,0.321,254.785,243,255,180,6.537
24,0.098,233.220,62,255,180,1.951
25,0.247,241.962,19,255,180,5.024
26,0.105,241.750,20,255,0,2.098
27,0.316,246.504,3,255,180,6.439
28,0.326,239.131,0,255,180,6.634
29,0.190,252.262,101,255,180,3.854
30,0.195,247.390,18,255,180,3.951
31,0.186,236.808,1,255,180,3.756
32,0.119,254.440,236,255,180,2.390
33,0.081,250.235,113,255,180,1.610
34,0.105,254.977,254,255,0,2.098
35,0.109,243.043,11,255,180,2.195
36,0.067,231.893,24,255,180,1.317
37,0.026,202.909,19,255,180,0.488
38,0.095,240.575,0,255,180,1.902
39,0.083,240.914,12,255,180,1.659
40,0.186,248.808,22,255,180,3.756
41,0.043,233.500,85,255,180,0.829
42,0.148,249.274,101,255,180,2.976
43,0.040,250.059,178,255,180,0.780
44,0.124,254.654,237,255,180,2.488
45,0.133,253.089,154,255,180,2.683
46,0.062,234.462,61,255,180,1.220
47,0.119,253.200,186,255,180,2.390
48,0.336,254.830,235,255,180,6.829
49,0.076,251.031,161,255,180,1.512
50,0.140,241.034,23,255,180,2.829
51,0.343,254.903,246,255,180,6.976
52,0.105,229.318,0,255,180,2.098
53,0.198,254.518,226,255,180,4.000
54,0.048,197.550,61,255,180,0.927
55,0.057,252.958,206,255,0,1.122
56,0.024,204.300,16,255,180,0.439
57,0.071,233.900,11,255,180,1.415
58,0.074,234.387,14,255,180,1.463
59,0.076,215.500,0,255,180,1.512
60,0.114,237.854,0,255,180,2.293
61,0.131,244.982,4,255,180,2.634
62,0.124,254.173,221,255,180,2.488
63,0.062,240.000,44,255,180,1.220
64,0.050,222.619,0,255,180,0.976
65,0.152,252.172,86,255,180,3.073
66,0.098,249.805,100,255,180,1.951
67,0.107,231.311,15,255,180,2.146
68,0.048,213.550,2,255,180,0.927
69,0.029,242.250,125,255,180,0.537
70,0.067,211.000,8,255,180,1.317
71,0.107,216.578,0,255,180,2.146
72,0.102,249.674,87,255,180,2.049
73,0.043,230.056,87,255,180,0.829
74,0.071,240.433,86,255,180,1.415
75,0.055,238.957,106,255,180,1.073
76,0.031,254.923,254,255,180,0.585
77,0.121,249.725,64,255,180,2.439
78,0.093,250.513,111,255,180,1.854
79,0.010,231.500,174,255,0,0.146
80,0.050,233.524,7,255,180,0.976
81,0.069,254.517,248,255,180,1.366
82,0.148,250.935,73,255,180,2.976
83,0.057,240.000,73,255,180,1.122
84,0.100,251.905,179,255,180,2.000
85,0.098,254.902,251,255,180,1.951
86,0.064,216.741,0,255,180,1.268
