 ,Area,Mean,Min,Max,Angle,Length
38,0.045,241.632,47,255,180,0.878
39,0.181,250.697,20,255,180,3.659
40,0.090,233.421,0,255,180,1.805
41,0.064,232.963,0,255,180,1.268
42,0.076,247.094,109,255,0,1.512
43,0.079,230.667,0,255,0,1.561
44,0.143,243.783,0,255,0,2.878
45,0.076,229.906,0,255,180,1.512
46,0.057,228.875,0,255,180,1.122
47,0.117,251.551,86,255,180,2.341
48,0.126,251.321,60,255,180,2.537
49,0.086,238.472,0,255,180,1.707
50,0.055,219.174,36,255,180,1.073
51,0.121,244.255,0,255,180,2.439
52,0.107,220.289,0,255,180,2.146
53,0.283,247.454,0,255,180,5.756
54,0.443,252.957,82,255,0,9.024
55,0.414,250.943,0,255,0,8.439
56,0.067,241.643,161,255,180,1.317
57,0.114,243.188,0,255,180,2.293
58,0.057,244.625,51,255,0,1.122
59,0.052,249.136,126,255,0,1.024
60,0.305,247.648,10,255,0,6.195
61,0.055,253.217,214,255,0,1.073
62,0.333,252.479,98,255,0,6.780
63,0.086,232.806,0,255,180,1.707
64,0.159,239.134,0,255,180,3.220
65,0.171,249.736,43,255,0,3.463
66,0.121,245.627,10,255,180,2.439
67,0.119,244.040,0,255,180,2.390
68,0.057,229.000,0,255,180,1.122
69,0.098,217.000,0,255,180,1.951
70,0.143,249.900,116,255,180,2.878
71,0.133,246.464,0,255,180,2.683
72,0.017,154.286,0,255,0,0.293
73,0.188,253.152,109,255,0,3.805
74,0.195,247.329,0,255,0,3.951
75,0.036,247.800,147,255,0,0.683
76,0.121,251.255,71,255,180,2.439
77,0.040,235.706,0,255,180,0.780
1,0.045,240.316,90,255,0,0.878
2,0.090,244.132,6,255,180,1.805
3,0.069,245.034,96,255,180,1.366
4,0.090,254.553,244,255,180,1.805
5,0.038,242.000,111,255,180,0.732
6,0.052,233.091,55,255,0,1.024
7,0.219,250.739,38,255,180,4.439
8,0.321,252.015,46,255,180,6.537
9,0.017,134.429,3,255,180,0.293
10,0.155,246.585,0,255,180,3.122
11,0.195,252.061,66,255,0,3.951
12,0.190,241.700,38,255,180,3.854
13,0.067,236.429,75,255,180,1.317
14,0.271,250.096,29,255,0,5.512
15,0.057,170.833,0,255,0,1.122
16,0.036,247.800,147,255,0,0.683
17,0.171,244.875,24,255,0,3.463
18,0.176,249.784,55,255,0,3.561
19,0.050,235.667,68,255,180,0.976
20,0.079,250.939,165,255,0,1.561
21,0.133,240.732,0,255,180,2.683
22,0.150,243.048,0,255,180,3.024
23,0.252,249.538,144,255,180,5.122
24,0.026,232.273,166,255,0,0.488
25,0.112,250.532,165,255,180,2.244
26,0.069,208.103,1,255,180,1.366
27,0.093,237.410,1,255,180,1.854
28,0.076,228.375,0,255,180,1.512
29,0.171,242.639,2,255,0,3.463
30,0.086,237.722,22,255,0,1.707
31,0.233,249.224,0,255,0,4.732
32,0.140,244.729,3,255,180,2.829
33,0.128,238.315,0,255,180,2.585
34,0.081,254.059,223,255,180,1.610
35,0.040,228.882,94,255,180,0.780
36,0.026,233.000,73,255,180,0.488
37,0.102,254.744,249,255,0,2.049
38,0.050,218.810,1,255,180,0.976
39,0.029,216.917,5,255,180,0.537
40,0.312,251.687,98,255,0,6.341
41,0.086,239.111,83,255,0,1.707
42,0.119,232.560,47,255,180,2.390
43,0.297,247.048,54,255,180,6.049
44,0.098,223.634,0,255,0,1.951
45,0.088,246.541,63,255,180,1.756
46,0.102,243.953,43,255,180,2.049
47,0.176,247.351,44,255,180,3.561
48,0.212,246.101,35,255,0,4.293
49,0.140,242.220,19,255,0,2.829
50,0.267,247.420,6,255,180,5.415
51,0.069,207.138,2,255,0,1.366
52,0.152,254.250,217,255,0,3.073
53,0.107,236.067,0,255,180,2.146
54,0.124,237.096,0,255,180,2.488
55,0.126,249.717,101,255,180,2.537
56,0.038,193.375,0,255,180,0.732
57,0.038,232.188,17,255,180,0.732
58,0.090,244.289,80,255,0,1.805
59,0.040,237.235,122,255,180,0.780
60,0.086,208.444,0,255,180,1.707
61,0.019,238.500,180,255,180,0.341
62,0.024,254.900,254,255,0,0.439
63,0.107,253.222,191,255,180,2.146
64,0.102,246.186,19,255,180,2.049
65,0.171,237.236,0,255,180,3.463
66,0.150,242.952,7,255,0,3.024
67,0.140,245.288,24,255,180,2.829
68,0.093,247.538,95,255,180,1.854
69,0.145,223.508,0,255,180,2.927
70,0.148,243.097,0,255,180,2.976
71,0.069,222.034,6,255,180,1.366
72,0.126,236.208,0,255,180,2.537
73,0.107,231.489,0,255,180,2.146
74,0.005,250.000,247,253,0,0.049
75,0.107,217.400,0,255,180,2.146
76,0.233,250.378,30,255,0,4.732
77,0.195,239.610,0,255,0,3.951
78,0.195,230.049,0,255,180,3.951
1,0.055,252.304,198,255,0,1.073
2,0.328,249.971,89,255,0,6.683
3,0.055,207.652,53,255,0,1.073
4,0.069,231.379,19,255,180,1.366
5,0.062,253.769,239,255,0,1.220
6,0.095,249.900,163,255,180,1.902
7,0.062,228.538,26,255,180,1.220
8,0.079,236.727,3,255,180,1.561
9,0.086,247.111,169,255,180,1.707
10,0.033,171.357,47,228,180,0.634
11,0.083,240.343,100,255,180,1.659
12,0.124,250.923,85,255,180,2.488
13,0.043,221.556,13,255,180,0.829
14,0.183,250.364,76,255,180,3.707
15,0.074,187.129,0,255,180,1.463
16,0.057,235.083,44,255,180,1.122
17,0.255,250.243,91,255,180,5.171
18,0.076,238.406,82,255,180,1.512
19,0.050,217.238,10,255,180,0.976
20,0.128,246.963,94,255,180,2.585
21,0.038,254.938,254,255,180,0.732
22,0.136,245.509,47,255,180,2.732
23,0.098,244.415,56,255,180,1.951
24,0.021,192.333,3,255,0,0.390
25,0.174,245.959,45,255,180,3.512
26,0.119,244.200,81,255,180,2.390
27,0.026,211.636,49,255,180,0.488
28,0.040,240.588,108,255,180,0.780
29,0.055,239.739,53,255,180,1.073
30,0.045,238.316,86,255,180,0.878
31,0.264,245.856,1,255,180,5.366
32,0.281,252.542,70,255,180,5.707
33,0.057,254.125,234,255,180,1.122
34,0.048,227.800,42,255,180,0.927
35,0.059,225.480,51,255,180,1.171
36,0.095,217.375,1,255,180,1.902
37,0.079,248.182,160,255,180,1.561
38,0.055,233.870,80,255,180,1.073
39,0.090,254.211,228,255,180,1.805
40,0.021,196.333,14,255,180,0.390
41,0.159,246.433,56,255,180,3.220
42,0.036,221.467,95,255,180,0.683
43,0.207,246.322,0,255,180,4.195
44,0.145,251.508,164,255,180,2.927
45,0.083,231.057,1,255,180,1.659
46,0.105,246.409,77,255,180,2.098
47,0.026,181.455,10,255,180,0.488
48,0.043,226.667,23,255,0,0.829
49,0.071,224.067,15,255,180,1.415
50,0.048,230.150,22,255,180,0.927
51,0.048,254.900,254,255,180,0.927
52,0.031,235.462,134,255,180,0.585
53,0.167,243.800,4,255,180,3.366
54,0.071,231.533,17,255,180,1.415
55,0.043,235.111,145,255,180,0.829
56,0.038,232.188,47,255,180,0.732
57,0.081,247.147,157,255,180,1.610
58,0.036,216.600,61,255,180,0.683
59,0.114,248.312,88,255,180,2.293
60,0.112,252.170,162,255,180,2.244
61,0.131,244.636,5,255,180,2.634
62,0.098,230.439,10,255,180,1.951
63,0.121,243.196,4,255,180,2.439
64,0.128,242.333,19,255,180,2.585
65,0.062,220.808,10,255,180,1.220
66,0.131,244.491,84,255,180,2.634
67,0.126,238.736,2,255,180,2.537
68,0.074,241.871,54,255,180,1.463
69,0.012,150.600,74,231,180,0.195
70,0.221,254.710,236,255,180,4.488
71,0.228,247.979,51,255,180,4.634
72,0.029,174.250,2,255,180,0.537
73,0.167,251.671,154,255,0,3.366
74,0.062,239.500,62,255,0,1.220
75,0.148,247.871,86,255,180,2.976
76,0.102,248.581,97,255,180,2.049
77,0.205,247.942,22,255,180,4.146
78,0.159,242.701,98,255,180,3.220
79,0.093,230.949,19,255,180,1.854
80,0.083,232.457,14,255,180,1.659
81,0.150,242.810,6,255,180,3.024
82,0.052,228.136,13,255,180,1.024
83,0.052,250.545,184,255,180,1.024
84,0.167,236.671,0,255,180,3.366
85,0.105,235.977,4,255,180,2.098
86,0.195,252.378,172,255,180,3.951
87,0.200,251.345,72,255,180,4.049
88,0.043,204.944,0,255,180,0.829
89,0.040,198.706,6,255,180,0.780
90,0.181,243.921,12,255,180,3.659
91,0.109,248.130,58,255,180,2.195
1,0.281,245.212,20,255,0.000,5.707
2,0.045,204.789,10,255,180.000,0.878
3,0.021,218.333,92,255,180.000,0.390
4,0.126,251.189,158,255,0.000,2.537
5,0.109,241.848,47,255,180.000,2.195
6,0.029,167.083,3,255,180.000,0.537
7,0.443,254.640,228,255,180.000,9.024
8,0.007,209.333,146,252,-153.435,0.109
9,0.052,211.227,51,255,0.000,1.024
10,0.071,241.433,53,255,180.000,1.415
11,0.057,218.292,22,255,180.000,1.122
12,0.024,205.600,16,255,180.000,0.439
13,0.067,239.786,86,255,180.000,1.317
14,0.164,239.130,1,255,180.000,3.317
15,0.109,242.500,52,255,180.000,2.195
16,0.164,249.913,89,255,0.000,3.317
17,0.088,152.757,9,255,180.000,1.756
18,0.024,227.700,115,255,180.000,0.439
19,0.017,140.571,8,253,0.000,0.293
20,0.062,224.115,27,255,180.000,1.220
21,0.029,205.333,43,255,180.000,0.537
22,0.029,186.833,13,255,180.000,0.537
23,0.036,230.600,59,255,180.000,0.683
24,0.043,213.000,46,255,180.000,0.829
25,0.055,237.957,70,255,180.000,1.073
26,0.040,237.176,123,255,180.000,0.780
27,0.121,249.824,95,255,180.000,2.439
28,0.026,241.636,167,255,180.000,0.488
29,0.019,198.125,43,255,180.000,0.341
30,0.064,248.000,117,255,180.000,1.268
31,0.052,221.227,9,255,180.000,1.024
32,0.010,23.750,0,48,180.000,0.146
33,0.090,227.237,8,255,180.000,1.805
34,0.029,241.667,207,255,180.000,0.537
35,0.021,201.639,53,255,172.875,0.393
36,0.031,237.923,133,255,180.000,0.585
37,0.055,227.478,1,255,180.000,1.073
38,0.024,170.800,21,255,180.000,0.439
39,0.117,247.510,56,255,180.000,2.341
40,0.048,220.000,42,255,180.000,0.927
41,0.069,228.655,21,255,180.000,1.366
42,0.100,231.786,79,255,180.000,2.000
43,0.045,249.158,205,255,180.000,0.878
44,0.274,251.278,55,255,180.000,5.561
45,0.071,253.767,219,255,180.000,1.415
46,0.033,186.143,2,255,180.000,0.634
47,0.079,231.394,26,255,180.000,1.561
48,0.059,215.080,0,255,180.000,1.171
49,0.083,246.743,59,255,180.000,1.659
50,0.245,253.233,137,255,180.000,4.976
51,0.086,224.528,1,255,180.000,1.707
