 ,Area,Mean,Min,Max,Angle,Length
1,0.050,248.095,165,255,0,0.976
2,0.105,237.432,18,255,180,2.098
3,0.031,210.615,44,255,180,0.585
4,0.026,148.000,1,254,180,0.488
5,0.112,250.170,82,255,180,2.244
6,0.019,212.875,75,255,0,0.341
7,0.083,246.314,56,255,180,1.659
8,0.107,248.867,167,255,180,2.146
9,0.029,185.417,4,255,180,0.537
10,0.040,249.765,176,255,180,0.780
11,0.164,251.899,84,255,180,3.317
12,0.029,240.333,160,255,0,0.537
13,0.119,239.100,14,255,180,2.390
14,0.295,254.113,210,255,180,6.000
15,0.088,240.324,61,255,180,1.756
16,0.045,176.632,0,255,180,0.878
17,0.083,226.829,38,255,180,1.659
18,0.088,238.324,13,255,180,1.756
19,0.045,180.789,13,255,180,0.878
20,0.043,231.722,102,255,180,0.829
21,0.043,207.611,48,255,180,0.829
22,0.145,253.459,173,255,180,2.927
23,0.055,166.652,0,255,180,1.073
24,0.214,253.344,179,255,180,4.341
25,0.105,250.318,126,255,180,2.098
26,0.114,244.333,1,255,180,2.293
27,0.067,255.000,255,255,0,1.317
28,0.126,253.245,184,255,180,2.537
29,0.105,237.705,79,255,180,2.098
30,0.214,253.211,168,255,180,4.341
31,0.157,252.000,113,255,0,3.171
32,0.145,252.541,174,255,180,2.927
33,0.069,241.655,96,255,180,1.366
34,0.409,253.483,77,255,180,8.341
35,0.159,250.284,56,255,180,3.220
36,0.271,254.991,254,255,180,5.512
37,0.048,176.400,0,255,180,0.927
38,0.043,207.333,21,255,180,0.829
39,0.205,246.651,21,255,180,4.146
40,0.067,214.821,0,255,180,1.317
41,0.169,250.493,79,255,180,3.415
42,0.050,192.857,0,255,180,0.976
43,0.040,209.000,0,255,180,0.780
44,0.036,251.333,200,255,0,0.683
45,0.045,187.842,0,255,180,0.878
46,0.100,251.929,201,255,180,2.000
47,0.033,192.000,12,255,180,0.634
48,0.045,246.316,188,255,180,0.878
49,0.059,237.200,117,255,180,1.171
50,0.069,237.793,79,255,180,1.366
51,0.157,246.288,42,255,180,3.171
52,0.333,250.721,57,255,180,6.780
53,0.059,255.000,255,255,180,1.171
54,0.036,255.000,255,255,180,0.683
55,0.195,253.646,198,255,180,3.951
56,0.081,241.882,19,255,180,1.610
57,0.243,248.912,13,255,180,4.927
58,0.159,247.284,12,255,180,3.220
59,0.098,252.634,206,255,180,1.951
60,0.055,247.000,129,255,180,1.073
61,0.095,249.350,152,255,180,1.902
62,0.048,254.450,244,255,180,0.927
63,0.026,227.818,120,255,180,0.488
64,0.105,240.182,57,255,0,2.098
65,0.043,231.333,142,255,180,0.829
66,0.074,224.290,1,255,180,1.463
67,0.088,248.162,58,255,180,1.756
68,0.133,253.768,192,255,0,2.683
69,0.057,215.625,0,255,180,1.122
70,0.400,250.929,20,255,180,8.146
71,0.033,148.714,19,255,180,0.634
72,0.207,248.678,97,255,180,4.195
73,0.283,244.504,37,255,180,5.756
74,0.102,243.419,93,255,180,2.049
75,0.314,252.795,125,255,180,6.390
76,0.064,252.370,209,255,0,1.268
77,0.181,246.553,58,255,180,3.659
78,0.079,253.030,210,255,0,1.561
79,0.093,240.205,81,255,180,1.854
80,0.050,236.000,130,255,180,0.976
81,0.057,222.958,1,255,180,1.122
82,0.062,238.808,46,255,180,1.220
83,0.064,192.333,4,255,180,1.268
84,0.067,209.071,0,255,180,1.317
85,0.040,251.471,197,255,180,0.780
